gender,Age,Years_in_job,Income,Province,Savings,Home_ownership,Credit_history,Number_of_accs,Credit_cards,Home_loan,Overdraft,Student_Loan,Non_perfoming_Accs,Open Accounts,Current_In_Arrears,Current_balance_Amt,Past_due_Amt,No_of_enquiries,Score,Def,monthly_installments,Number_of_monthly_installments
Female,37,15,91317,Nairobi,85678,Rent,12,61,0,0,0,0,6,3,3,13700,4110.0,70,503,0,27395.1,2
Male,44,14,112798,Nairobi,167508,Own Home,5,10,0,0,2,0,4,1,0,16900,0.0,3,670,0,33839.4,4
Male,46,22,143621,Nairobi,399368,Own Home,14,43,3,0,4,0,13,3,0,14400,0.0,9,712,0,43086.299999999996,8
Male,25,1,48822,Rift Valley,4704,Rent,1,5,0,0,2,1,2,2,2,14600,10220.0,9,419,1,14646.6,10
Female,39,14,116219,Nairobi,147135,Own Home,8,33,0,0,2,0,10,2,0,17400,0.0,7,681,0,34865.7,11
Male,25,2,32114,Rift Valley,1391,Rent,1,4,0,0,1,1,2,2,2,9600,6720.0,4,359,1,9634.199999999999,6
Male,29,7,98754,Nairobi,48445,Rent,8,34,0,0,1,0,10,2,2,19800,13860.0,56,484,1,29626.199999999997,2
Male,34,10,56421,Nairobi,25879,Rent,6,26,0,0,1,0,8,2,2,11300,7909.999999999999,25,456,1,16926.3,11
Female,20,3,43344,Western,1906,Rent,1,10,0,0,2,1,4,1,1,13000,9100.0,11,501,0,13003.199999999999,5
Male,50,26,137953,Nairobi,325610,Own Home,13,41,4,0,3,0,12,3,0,13800,0.0,23,654,0,41385.9,6
Female,53,29,139951,Nairobi,399970,Own Home,8,26,0,0,4,0,8,2,0,14000,0.0,15,678,0,41985.299999999996,1
Male,52,28,132209,Nairobi,340431,Own Home,9,40,0,0,4,0,12,3,0,13200,0.0,10,642,0,39662.7,1
Female,37,14,105616,Nairobi,124376,Own Home,7,32,0,0,0,0,10,2,0,15800,0.0,15,684,0,31684.8,1
Male,55,27,140598,Nairobi,317021,Own Home,11,38,0,0,2,0,11,3,0,14100,0.0,14,692,0,42179.4,6
Female,46,23,149193,Nairobi,427865,Own Home,13,49,3,0,4,0,15,3,0,14900,0.0,27,710,0,44757.9,9
Male,20,1,47537,Western,1221,Rent,2,2,0,0,1,1,1,2,2,14300,10010.0,3,410,1,14261.1,5
Female,26,10,95355,Nairobi,56124,Rent,7,25,0,0,2,0,7,2,2,19100,13370.0,43,487,1,28606.5,5
Male,24,2,49399,Rift Valley,1081,Rent,1,4,0,0,2,1,2,2,2,14800,10360.0,8,470,1,14819.699999999999,7
Male,32,4,74733,Nairobi,27588,Rent,1,9,0,0,2,0,4,1,1,22400,15679.999999999998,18,245,1,22419.899999999998,7
Female,38,13,103963,Nairobi,133514,Own Home,11,53,0,0,1,0,16,3,0,20800,0.0,31,669,0,31188.899999999998,4
Male,37,11,129241,Nairobi,173550,Own Home,9,31,0,0,3,0,9,2,0,25800,0.0,13,649,0,38772.299999999996,11
Female,33,5,92080,Nairobi,57053,Rent,2,19,0,0,1,0,8,2,2,27600,19320.0,31,247,1,27624.0,8
Male,36,12,95355,Nairobi,120280,Own Home,5,12,0,0,0,0,5,1,0,19100,0.0,7,586,0,28606.5,1
Male,44,12,92047,Nairobi,104420,Rent,6,24,0,0,0,0,7,2,2,18400,5520.0,23,568,0,27614.1,11
Male,44,15,121887,Nairobi,158324,Own Home,8,38,0,0,1,0,11,3,0,18300,0.0,19,640,0,36566.1,6
Female,25,3,34916,Northe Eastern ,1397,Rent,1,5,0,0,2,1,2,2,2,10500,7349.999999999999,4,535,0,10474.8,5
Male,49,22,145854,Nairobi,336980,Own Home,8,36,0,0,3,0,11,3,0,14600,0.0,8,645,0,43756.2,2
Female,29,10,50943,Rift Valley,21252,Rent,7,17,0,0,0,0,7,2,2,10200,7140.0,18,450,1,15282.9,5
Female,35,6,82914,Nairobi,42952,Rent,4,3,0,0,1,0,1,2,2,16600,11620.0,4,532,0,24874.2,2
Male,32,6,74826,Rift Valley,49539,Rent,3,7,0,0,2,0,3,1,1,15000,10500.0,10,429,1,22447.8,8
Male,19,1,59480,Rift Valley,5921,Rent,1,4,0,0,2,1,2,2,2,17800,12460.0,6,294,1,17844.0,11
Male,41,13,114815,Nairobi,143566,Own Home,11,32,0,0,1,0,10,2,0,23000,0.0,7,703,0,34444.5,5
Female,19,1,52011,Central,1381,Rent,1,13,0,0,2,1,5,1,1,15600,10920.0,17,463,1,15603.3,9
Female,50,20,129758,Nairobi,291201,Own Home,9,29,0,0,2,0,9,2,0,13000,0.0,9,671,0,38927.4,2
Female,23,3,54004,Nyanza,3080,Rent,1,17,0,0,0,1,7,2,2,16200,11340.0,29,465,1,16201.199999999999,8
Female,31,9,54132,Nyanza,32275,Rent,6,26,0,0,1,0,8,2,2,10800,7559.999999999999,28,500,1,16239.599999999999,2
Male,22,1,47351,Central,974,Rent,2,19,0,0,1,1,8,2,2,14200,9940.0,18,332,1,14205.3,2
Female,29,4,63145,Eastern,32088,Rent,2,12,0,0,2,0,5,1,1,18900,13230.0,21,422,1,18943.5,11
Male,20,3,51307,Nyanza,1179,Rent,1,9,0,0,0,1,4,1,1,15400,10780.0,17,296,1,15392.099999999999,4
Female,33,9,85500,Nairobi,26707,Rent,6,33,0,0,2,0,10,2,2,17100,11970.0,43,532,0,25650.0,8
Male,22,3,36041,Eastern,3263,Rent,1,8,0,0,2,1,3,1,1,10800,7559.999999999999,8,581,0,10812.3,7
Female,43,15,94936,Nairobi,94297,Rent,12,45,0,0,0,0,13,3,3,14200,4260.0,46,464,1,28480.8,6
Male,48,26,120065,Nairobi,312292,Own Home,13,51,0,0,3,0,15,3,0,12000,0.0,14,689,0,36019.5,1
Male,35,4,79000,Nairobi,27060,Rent,2,8,0,0,1,0,3,1,1,23700,16590.0,14,420,1,23700.0,10
Female,21,2,41558,Nairobi,1872,Rent,1,20,0,0,0,1,8,2,2,12500,8750.0,20,422,1,12467.4,5
Male,31,4,91995,Nairobi,51059,Rent,1,4,0,0,2,0,2,2,2,27600,19320.0,8,344,1,27598.5,3
Male,41,12,103069,Nairobi,130528,Own Home,8,19,0,0,0,0,8,2,0,20600,0.0,11,518,0,30920.699999999997,3
Male,51,20,131625,Nairobi,345614,Own Home,11,66,0,0,4,0,7,3,0,13200,0.0,21,682,0,39487.5,5
Female,45,12,98249,Nairobi,123306,Own Home,10,36,0,0,2,0,11,3,0,19600,0.0,20,647,0,29474.7,1
Female,42,13,115547,Nairobi,160446,Own Home,8,35,0,0,2,0,10,2,0,23100,0.0,13,677,0,34664.1,5
Female,49,23,140807,Nairobi,381069,Own Home,16,70,1,0,2,0,7,3,0,14100,0.0,31,732,0,42242.1,8
Male,36,13,103853,Nairobi,108615,Rent,6,17,0,0,2,0,7,2,2,20800,6240.0,15,463,1,31155.899999999998,10
Female,31,6,55901,Nairobi,35791,Rent,8,37,0,0,0,0,11,3,3,11200,7839.999999999999,38,456,1,16770.3,6
Female,21,3,59932,Western,5200,Rent,2,4,0,0,1,1,2,2,2,18000,12600.0,7,495,1,17979.6,7
Female,33,6,89672,Nairobi,59154,Rent,6,38,0,0,2,0,11,3,3,17900,12530.0,58,506,0,26901.6,8
Male,49,27,126193,Nairobi,324332,Own Home,19,66,4,0,3,0,7,3,0,12600,0.0,27,691,0,37857.9,1
Female,44,15,92218,Nairobi,108375,Rent,7,40,0,0,0,0,12,3,3,13800,4140.0,35,455,1,27665.399999999998,8
Male,41,14,105656,Nairobi,137296,Own Home,9,23,0,0,0,0,7,2,0,15800,0.0,7,665,0,31696.8,3
Male,53,30,130644,Nairobi,359969,Own Home,12,56,0,0,4,0,6,3,0,13100,0.0,13,699,0,39193.2,10
Male,52,25,129504,Nairobi,294052,Own Home,13,60,1,0,3,0,6,3,0,13000,0.0,19,734,0,38851.2,2
Female,22,1,39445,Nairobi,1129,Rent,1,18,0,0,1,1,7,2,2,11800,8260.0,21,548,0,11833.5,8
Male,20,3,57879,Rift Valley,4288,Rent,2,7,0,0,0,1,3,1,1,17400,12180.0,11,293,1,17363.7,9
Male,53,23,148667,Nairobi,360218,Own Home,13,39,1,0,1,0,12,3,0,14900,0.0,21,711,0,44600.1,10
Female,45,14,91524,Nairobi,92563,Rent,9,33,0,0,1,0,10,2,2,13700,4110.0,33,593,0,27457.2,10
Male,42,11,114208,Nairobi,152391,Own Home,5,6,0,0,1,0,2,1,0,22800,0.0,2,702,0,34262.4,7
Male,48,30,138743,Nairobi,320021,Own Home,18,90,1,0,4,0,4,2,0,13900,0.0,41,730,0,41622.9,2
Female,36,11,127106,Nairobi,114970,Mortgage,12,50,0,1,2,0,15,3,0,25400,0.0,10,634,0,38131.799999999996,10
Female,28,8,67385,Western,36633,Rent,4,5,0,0,2,1,2,2,2,13500,9450.0,5,514,0,20215.5,10
Male,28,4,57033,Nyanza,30107,Rent,1,10,0,0,1,1,4,1,1,17100,11970.0,20,424,1,17109.899999999998,3
Male,34,5,67435,Western,36341,Rent,1,5,0,0,0,0,2,2,2,20200,14140.0,10,503,0,20230.5,8
Female,45,12,91573,Nairobi,89929,Rent,9,38,0,0,0,0,11,3,3,18300,5490.0,45,458,1,27471.899999999998,10
Female,49,16,137505,Nairobi,403625,Own Home,11,62,0,0,2,0,6,3,0,20600,0.0,13,719,0,41251.5,4
Male,52,20,149748,Nairobi,302421,Own Home,6,38,0,0,4,0,11,3,0,15000,0.0,12,650,0,44924.4,5
Male,35,10,66717,Nyanza,33372,Rent,2,8,0,0,1,0,3,1,1,13300,9310.0,7,535,0,20015.1,11
Male,41,15,113675,Nairobi,114998,Mortgage,11,69,0,1,1,0,7,3,0,17100,0.0,16,713,0,34102.5,11
Male,42,13,129469,Nairobi,163741,Own Home,7,35,0,0,1,0,10,2,0,25900,0.0,13,655,0,38840.7,7
Female,23,2,39527,Western,1503,Rent,1,14,0,0,1,1,6,1,1,11900,8330.0,15,295,1,11858.1,6
Male,30,10,85027,Nairobi,30711,Rent,5,2,0,0,2,0,1,2,2,17000,11900.0,3,331,1,25508.1,7
Male,26,7,52738,Central,28803,Rent,3,8,0,0,0,1,3,1,1,10500,7349.999999999999,9,472,1,15821.4,10
Female,24,2,50757,Northe Eastern ,4316,Rent,1,13,0,0,2,1,5,1,1,15200,10640.0,18,512,0,15227.099999999999,4
Male,21,1,58448,Central,3464,Rent,2,3,0,0,2,1,1,2,2,17500,12250.0,4,588,0,17534.399999999998,7
Male,32,6,88924,Nairobi,55793,Rent,7,32,0,0,0,0,10,2,2,17800,12460.0,60,501,0,26677.2,3
Male,38,14,91284,Nairobi,134809,Own Home,12,40,0,0,0,0,12,3,0,13700,0.0,12,693,0,27385.2,5
Female,30,10,63220,Northe Eastern ,26868,Rent,4,20,0,0,1,0,8,2,2,12600,8820.0,21,490,1,18966.0,3
Female,45,13,91977,Nairobi,122156,Own Home,11,35,0,0,0,0,10,2,0,18400,0.0,7,694,0,27593.1,3
Male,31,10,82140,Nairobi,36747,Rent,6,21,0,0,2,0,6,1,1,16400,11480.0,31,547,0,24642.0,11
Male,28,10,56698,Eastern,19633,Rent,7,25,0,0,2,1,7,2,2,11300,7909.999999999999,21,591,0,17009.399999999998,6
Female,20,3,43278,Rift Valley,2245,Rent,2,19,0,0,1,1,8,2,2,13000,9100.0,20,366,1,12983.4,11
Female,30,7,57920,Central,29876,Rent,8,18,0,0,2,0,7,2,2,11600,8119.999999999999,15,435,1,17376.0,2
Male,33,4,65718,Nyanza,27421,Rent,2,15,0,0,1,0,6,1,1,19700,13790.0,27,459,1,19715.399999999998,7
Male,40,12,104625,Nairobi,94643,Rent,8,36,0,0,2,0,11,3,3,20900,6270.0,32,518,0,31387.5,11
Female,28,10,52920,Northe Eastern ,29486,Rent,3,1,0,0,0,1,0,1,1,10600,7419.999999999999,1,524,0,15876.0,7
Female,22,1,30597,Nyanza,2461,Rent,1,19,0,0,2,1,8,2,2,9200,6440.0,21,382,1,9179.1,6
Male,52,24,149740,Nairobi,384220,Own Home,14,66,4,0,4,0,7,3,0,15000,0.0,21,767,0,44922.0,11
Male,42,13,116589,Nairobi,170497,Own Home,5,4,0,0,2,0,2,2,0,23300,0.0,1,608,0,34976.7,5
Female,39,14,99594,Nairobi,128073,Own Home,12,51,0,0,0,0,15,3,0,14900,0.0,14,644,0,29878.199999999997,2
Female,49,17,147674,Nairobi,348803,Own Home,7,15,0,0,2,0,6,1,0,22200,0.0,7,625,0,44302.2,2
Male,26,4,82293,Nairobi,52953,Rent,2,16,0,0,1,0,6,2,2,24700,17290.0,32,401,1,24687.899999999998,3
Male,40,15,96627,Nairobi,116577,Mortgage,6,37,0,1,0,0,11,3,0,14500,0.0,22,633,0,28988.1,2
Male,32,4,55293,Rift Valley,19816,Rent,1,18,0,0,2,0,7,2,2,16600,11620.0,27,402,1,16587.899999999998,6
Male,49,18,135714,Nairobi,366243,Own Home,8,22,0,0,1,0,7,2,0,20400,0.0,7,665,0,40714.2,9
Male,55,18,134591,Nairobi,371946,Own Home,12,47,0,0,2,0,14,3,0,20200,0.0,27,710,0,40377.299999999996,7
Male,52,29,138704,Nairobi,320498,Own Home,11,58,0,0,1,0,6,3,0,13900,0.0,15,715,0,41611.2,8
Male,33,9,90144,Nairobi,39739,Rent,8,34,0,0,0,0,10,2,2,18000,12600.0,51,460,1,27043.2,7
Female,18,3,31979,Nyanza,1526,Rent,1,3,0,0,0,1,1,2,2,9600,6720.0,3,420,1,9593.699999999999,4
Male,45,12,93401,Nairobi,105775,Rent,6,27,0,0,1,0,8,2,2,18700,5610.0,22,529,0,28020.3,7
Male,23,2,30001,Northe Eastern ,934,Rent,2,8,0,0,1,1,3,1,1,9000,6300.0,8,484,1,9000.3,6
Male,34,9,99666,Nairobi,42560,Rent,8,23,0,0,1,0,7,2,2,19900,13930.0,38,562,0,29899.8,8
Female,39,11,117726,Nairobi,154922,Own Home,7,36,0,0,0,0,11,3,0,23500,0.0,9,683,0,35317.799999999996,2
Female,39,12,101899,Nairobi,130831,Own Home,5,5,0,0,1,0,2,2,0,20400,0.0,3,636,0,30569.699999999997,11
Female,53,28,133212,Nairobi,269611,Own Home,15,32,3,0,2,0,10,2,0,13300,0.0,19,686,0,39963.6,8
Female,49,16,142536,Nairobi,373071,Own Home,9,32,0,0,2,0,10,2,0,21400,0.0,9,639,0,42760.799999999996,10
Male,44,11,117042,Nairobi,149523,Own Home,5,13,0,0,2,0,5,1,0,23400,0.0,3,604,0,35112.6,6
Male,48,17,145194,Nairobi,356004,Own Home,7,16,0,0,2,0,6,2,0,21800,0.0,8,656,0,43558.2,3
Female,49,16,140355,Nairobi,371789,Own Home,5,7,0,0,4,0,3,1,0,21100,0.0,3,516,0,42106.5,2
Male,21,3,52336,Western,3810,Rent,1,10,0,0,0,1,4,1,1,15700,10990.0,19,358,1,15700.8,10
Male,27,6,59878,Northe Eastern ,28150,Rent,3,10,0,0,2,1,4,1,1,12000,8400.0,10,514,0,17963.399999999998,5
Female,28,10,85444,Nairobi,48960,Rent,4,13,0,0,0,0,5,1,1,17100,11970.0,26,443,1,25633.2,7
Male,32,5,54889,Western,27512,Rent,2,18,0,0,1,0,7,2,2,16500,11550.0,25,549,0,16466.7,2
Male,33,10,80722,Nairobi,39037,Rent,4,8,0,0,1,0,3,1,1,16100,11270.0,11,466,1,24216.6,1
Female,37,15,121036,Nairobi,152646,Own Home,11,36,0,0,2,0,11,3,0,18200,0.0,14,652,0,36310.799999999996,3
Female,39,12,103246,Nairobi,143982,Own Home,10,16,0,0,0,0,6,2,0,20600,0.0,6,664,0,30973.8,3
Female,31,9,64079,Rift Valley,23726,Rent,3,2,0,0,0,0,1,2,2,12800,8960.0,2,248,1,19223.7,9
Male,52,18,135463,Nairobi,288865,Own Home,8,21,0,0,1,0,6,1,0,20300,0.0,8,681,0,40638.9,11
Male,25,2,49140,Northe Eastern ,1821,Rent,1,13,0,0,2,1,5,1,1,14700,10290.0,19,405,1,14742.0,1
Female,52,16,146104,Nairobi,322057,Own Home,11,68,0,0,3,0,7,3,0,21900,0.0,16,715,0,43831.2,6
Male,27,6,62553,Western,26861,Rent,5,15,0,0,2,1,6,1,1,12500,8750.0,15,440,1,18765.899999999998,7
Male,39,13,125723,Nairobi,141662,Own Home,7,23,0,0,2,0,7,2,0,25100,0.0,12,681,0,37716.9,5
Male,34,7,70705,Central,46566,Rent,7,27,0,0,0,0,8,2,2,14100,9870.0,22,524,0,21211.5,10
Female,39,15,112652,Nairobi,165813,Own Home,10,23,0,0,1,0,7,2,0,16900,0.0,9,700,0,33795.6,4
Male,53,26,148969,Nairobi,341345,Own Home,10,20,0,0,3,0,8,2,0,14900,0.0,5,602,0,44690.7,11
Male,53,20,148687,Nairobi,339458,Own Home,11,70,0,0,4,0,7,3,0,14900,0.0,40,672,0,44606.1,10
Male,43,11,110590,Nairobi,132223,Own Home,6,30,0,0,1,0,9,2,0,22100,0.0,10,709,0,33177.0,5
Female,28,10,50382,Eastern,20159,Rent,4,7,0,0,1,1,3,1,1,10100,7070.0,6,446,1,15114.599999999999,8
Female,37,11,120761,Nairobi,173501,Own Home,10,30,0,0,2,0,9,2,0,24200,0.0,7,656,0,36228.299999999996,4
Male,29,10,55679,Nyanza,37476,Rent,7,16,0,0,2,0,6,2,2,11100,7769.999999999999,15,461,1,16703.7,4
Male,30,8,91937,Nairobi,29301,Rent,5,7,0,0,1,0,3,1,1,18400,12880.0,14,396,1,27581.1,9
Male,20,2,57611,Western,1692,Rent,1,19,0,0,2,1,8,2,2,17300,12110.0,33,304,1,17283.3,10
Female,20,3,40976,Nyanza,1295,Rent,2,16,0,0,0,1,6,2,2,12300,8610.0,19,431,1,12292.8,6
Male,55,23,130259,Nairobi,376191,Own Home,14,69,1,0,4,0,7,3,0,13000,0.0,33,765,0,39077.7,2
Female,33,4,74839,Western,24893,Rent,2,1,0,0,2,0,0,1,1,22500,15749.999999999998,2,466,1,22451.7,8
Male,55,18,141159,Nairobi,403621,Own Home,11,63,0,0,3,0,6,3,0,21200,0.0,30,697,0,42347.7,11
Male,43,15,114450,Nairobi,110428,Mortgage,9,33,0,1,0,0,10,2,0,17200,0.0,17,626,0,34335.0,2
Female,28,4,87026,Nairobi,55281,Rent,1,17,0,0,0,0,7,2,2,26100,18270.0,28,472,1,26107.8,8
Male,37,13,112664,Nairobi,102064,Rent,12,39,0,0,1,0,12,3,3,22500,6750.0,35,534,0,33799.2,3
Female,50,18,136682,Nairobi,274696,Own Home,8,36,0,0,4,0,11,3,0,20500,0.0,10,679,0,41004.6,8
Male,41,11,117654,Nairobi,139085,Own Home,8,17,0,0,0,0,7,2,0,23500,0.0,7,661,0,35296.2,8
Female,42,15,94785,Nairobi,105568,Rent,12,30,0,0,2,0,9,2,2,14200,4260.0,31,522,0,28435.5,5
Female,53,29,147829,Nairobi,348661,Own Home,18,87,2,0,3,0,4,2,0,14800,0.0,37,716,0,44348.7,4
Female,52,21,128157,Nairobi,336580,Own Home,18,89,3,0,3,0,4,2,0,12800,0.0,35,676,0,38447.1,2
Male,40,15,117309,Nairobi,117589,Mortgage,6,27,0,1,2,0,8,2,0,17600,0.0,15,634,0,35192.7,5
Male,47,20,140345,Nairobi,290956,Own Home,9,24,0,0,2,0,7,2,0,14000,0.0,9,683,0,42103.5,8
Female,28,5,96879,Nairobi,65755,Rent,1,6,0,0,0,0,2,1,1,29100,20370.0,8,476,1,29063.7,6
Male,43,13,101555,Nairobi,148305,Own Home,5,4,0,0,0,0,2,2,0,20300,0.0,1,540,0,30466.5,11
Female,36,12,109037,Nairobi,144895,Own Home,7,23,0,0,2,0,7,2,0,21800,0.0,5,706,0,32711.1,7
Male,50,27,147780,Nairobi,414811,Own Home,10,26,0,0,2,0,8,2,0,14800,0.0,15,674,0,44334.0,2
Male,49,23,140723,Nairobi,377444,Own Home,12,42,0,0,1,0,13,3,0,14100,0.0,15,640,0,42216.9,3
Female,52,19,139697,Nairobi,316283,Own Home,11,34,0,0,3,0,10,2,0,21000,0.0,17,692,0,41909.1,7
Female,46,30,129393,Nairobi,289607,Own Home,9,20,0,0,4,0,8,2,0,12900,0.0,10,584,0,38817.9,3
Female,55,17,121850,Nairobi,253033,Own Home,9,34,0,0,3,0,10,2,0,18300,0.0,13,671,0,36555.0,1
Male,28,10,73030,Eastern,39698,Rent,8,34,0,0,2,1,10,2,2,14600,10220.0,60,476,1,21909.0,1
Female,35,10,85522,Nairobi,45936,Rent,4,14,0,0,0,0,6,1,1,17100,11970.0,28,454,1,25656.6,11
Female,53,29,146521,Nairobi,294638,Own Home,8,29,0,0,3,0,9,2,0,14700,0.0,7,704,0,43956.299999999996,8
Male,44,14,114466,Nairobi,159745,Own Home,8,25,0,0,0,0,7,2,0,17200,0.0,9,710,0,34339.799999999996,10
Female,40,12,99400,Nairobi,143071,Own Home,10,17,0,0,0,0,7,2,0,19900,0.0,10,648,0,29820.0,7
Male,32,7,84127,Nairobi,44347,Rent,6,30,0,0,1,0,9,2,2,16800,11760.0,43,598,0,25238.1,6
Female,21,2,54647,Central,4887,Rent,2,6,0,0,1,1,2,1,1,16400,11480.0,9,469,1,16394.1,11
Male,27,8,53452,Nairobi,29557,Rent,2,9,0,0,1,1,4,1,1,10700,7489.999999999999,9,377,1,16035.599999999999,1
Male,18,3,59826,Eastern,2763,Rent,2,10,0,0,2,1,4,1,1,17900,12530.0,14,411,1,17947.8,1
Female,47,18,145150,Nairobi,335139,Own Home,7,38,0,0,3,0,11,3,0,21800,0.0,20,683,0,43545.0,3
Female,21,1,49349,Nairobi,3525,Rent,1,17,0,0,0,1,7,2,2,14800,10360.0,23,417,1,14804.699999999999,6
Female,36,15,96562,Nairobi,111328,Mortgage,11,51,0,1,2,0,15,3,0,14500,0.0,21,623,0,28968.6,11
Male,47,27,141050,Nairobi,324586,Own Home,10,33,0,0,3,0,10,2,0,14100,0.0,7,646,0,42315.0,2
Female,47,29,141213,Nairobi,291856,Own Home,13,49,4,0,2,0,15,3,0,14100,0.0,26,651,0,42363.9,8
Female,29,9,94632,Nairobi,62483,Rent,8,36,0,0,1,0,11,3,3,18900,13230.0,56,603,0,28389.6,5
Female,29,9,52869,Nairobi,23649,Rent,5,6,0,0,2,0,2,1,1,10600,7419.999999999999,7,493,1,15860.699999999999,11
Female,27,9,52505,Northe Eastern ,30909,Rent,2,4,0,0,0,1,2,2,2,10500,7349.999999999999,4,325,1,15751.5,4
Female,44,11,93437,Nairobi,97063,Rent,9,40,0,0,2,0,12,3,3,18700,5610.0,44,428,1,28031.1,8
Male,27,7,96712,Nairobi,56634,Rent,2,9,0,0,0,0,4,1,1,19300,13510.0,12,485,1,29013.6,4
Female,42,15,92780,Nairobi,116890,Mortgage,10,29,0,1,2,0,9,2,0,13900,0.0,17,628,0,27834.0,1
Male,18,2,40036,Northe Eastern ,1808,Rent,1,17,0,0,0,1,7,2,2,12000,8400.0,18,401,1,12010.8,8
Male,51,21,144374,Nairobi,318856,Own Home,8,19,0,0,2,0,8,2,0,14400,0.0,10,559,0,43312.2,8
Male,30,10,95046,Nairobi,58751,Rent,4,17,0,0,2,0,7,2,2,19000,13300.0,25,386,1,28513.8,5
Male,23,3,32942,Nyanza,1466,Rent,2,11,0,0,0,1,4,1,1,9900,6930.0,13,467,1,9882.6,1
Male,40,11,125949,Nairobi,164100,Own Home,7,38,0,0,1,0,11,3,0,25200,0.0,12,674,0,37784.7,10
Male,40,13,105636,Nairobi,153611,Own Home,10,36,0,0,0,0,11,3,0,21100,0.0,19,705,0,31690.8,2
Female,30,4,94574,Nairobi,51932,Rent,1,8,0,0,0,0,3,1,1,28400,19880.0,14,417,1,28372.2,6
Female,46,21,131202,Nairobi,349287,Own Home,18,95,4,0,3,0,5,2,0,13100,0.0,51,734,0,39360.6,10
Male,20,3,40585,Eastern,2361,Rent,2,4,0,0,1,1,2,2,2,12200,8540.0,4,491,1,12175.5,8
Female,36,13,98751,Nairobi,109750,Rent,7,37,0,0,1,0,11,3,3,19800,5940.0,41,587,0,29625.3,6
Female,49,17,127693,Nairobi,372543,Own Home,11,45,0,0,1,0,13,3,0,19200,0.0,17,679,0,38307.9,2
Female,44,11,125120,Nairobi,132313,Own Home,11,59,0,0,4,0,6,3,0,25000,0.0,25,718,0,37536.0,6
Female,34,8,71273,Western,37960,Rent,5,20,0,0,2,0,8,2,2,14300,10010.0,32,533,0,21381.899999999998,11
Female,19,3,59444,Northe Eastern ,5012,Rent,1,10,0,0,1,1,4,1,1,17800,12460.0,20,511,0,17833.2,8
Female,54,25,132291,Nairobi,386737,Own Home,14,55,1,0,3,0,16,3,0,13200,0.0,16,714,0,39687.299999999996,8
Female,43,12,107199,Nairobi,137057,Own Home,12,50,0,0,1,0,15,3,0,21400,0.0,28,671,0,32159.699999999997,7
Female,27,10,70109,Eastern,28887,Rent,5,1,0,0,2,1,0,1,1,14000,9800.0,1,498,1,21032.7,8
Female,48,29,125455,Nairobi,354182,Own Home,13,63,1,0,3,0,6,3,0,12500,0.0,13,726,0,37636.5,6
Male,27,9,67490,Northe Eastern ,41552,Rent,5,4,0,0,0,1,2,2,2,13500,9450.0,4,438,1,20247.0,1
Female,52,24,137001,Nairobi,281677,Own Home,11,69,0,0,3,0,7,3,0,13700,0.0,21,760,0,41100.299999999996,11
Male,40,12,92151,Nairobi,85403,Rent,9,40,0,0,1,0,12,3,3,18400,5520.0,41,420,1,27645.3,4
Female,36,13,111172,Nairobi,105450,Rent,11,51,0,0,0,0,15,3,3,22200,6660.0,42,468,1,33351.6,3
Female,18,1,50951,Rift Valley,1043,Rent,2,12,0,0,0,1,5,1,1,15300,10710.0,18,401,1,15285.3,4
Female,24,2,49142,Nairobi,3414,Rent,2,19,0,0,0,1,8,2,2,14700,10290.0,38,330,1,14742.6,5
Male,26,6,89094,Nairobi,31712,Rent,7,34,0,0,0,0,10,2,2,17800,12460.0,63,569,0,26728.2,1
Male,45,13,100060,Nairobi,142418,Own Home,9,18,0,0,2,0,7,2,0,20000,0.0,9,645,0,30018.0,3
Female,50,23,143905,Nairobi,375621,Own Home,10,24,0,0,3,0,7,2,0,14400,0.0,12,676,0,43171.5,3
Female,45,13,103683,Nairobi,141952,Own Home,5,9,0,0,1,0,4,1,0,20700,0.0,3,504,0,31104.899999999998,5
Female,50,22,144491,Nairobi,323939,Own Home,17,88,0,0,1,0,4,2,0,14400,0.0,30,745,0,43347.299999999996,7
Male,35,8,64082,Nyanza,27447,Rent,5,20,0,0,0,0,8,2,2,12800,8960.0,23,389,1,19224.6,11
Male,55,18,125462,Nairobi,345738,Own Home,9,20,0,0,3,0,8,2,0,18800,0.0,12,642,0,37638.6,1
Female,37,11,122384,Nairobi,180092,Own Home,9,37,0,0,3,0,11,3,0,24500,0.0,12,660,0,36715.2,6
Female,21,3,40761,Central,3138,Rent,2,17,0,0,2,1,7,2,2,12200,8540.0,19,458,1,12228.3,4
Male,48,29,129019,Nairobi,336492,Own Home,12,67,0,0,3,0,7,3,0,12900,0.0,18,700,0,38705.7,4
Female,43,13,96970,Nairobi,98606,Rent,5,20,0,0,1,0,8,2,2,19400,5820.0,16,476,1,29091.0,9
Female,45,13,106155,Nairobi,131906,Own Home,6,30,0,0,1,0,9,2,0,21200,0.0,10,642,0,31846.5,3
Female,42,11,97334,Nairobi,135652,Own Home,10,16,0,0,2,0,6,2,0,19500,0.0,9,682,0,29200.2,2
Male,19,2,30618,Northe Eastern ,1195,Rent,2,3,0,0,1,1,1,2,2,9200,6440.0,3,580,0,9185.4,5
Male,33,9,74087,Central,41701,Rent,5,8,0,0,1,0,3,1,1,14800,10360.0,12,482,1,22226.1,8
Male,44,15,103090,Nairobi,133889,Own Home,5,16,0,0,1,0,6,2,0,15500,0.0,5,681,0,30927.0,6
